pH_bin,n,implied,actual
"(-0.001, 0.1]",31,0.08134576168806834,0.03225806451612903
"(0.1, 0.2]",161,0.15400954910309295,0.12422360248447205
"(0.2, 0.3]",211,0.25260075546052735,0.25118483412322273
"(0.3, 0.4]",289,0.3530499610746346,0.3633217993079585
"(0.4, 0.5]",267,0.45112163947094774,0.449438202247191
"(0.5, 0.6]",214,0.5546645057043865,0.6121495327102804
"(0.6, 0.7]",168,0.6512780389899812,0.6488095238095238
"(0.7, 0.8]",111,0.7438873576717563,0.6846846846846847
"(0.8, 0.9]",68,0.8340701162596905,0.9117647058823529
