Team,P,W,D,L,GF,GA,Pts,GFpg,GApg,S_pg,SoT_pg,pWin_mean,GD,PPG,GFpg_pred,eff_resid
Man City,152,106,26,20,361,137,344,2.375,0.9013157894736842,17.20394736842105,6.368421052631579,0.6876507669772843,224,2.263157894736842,2.1987256434371245,0.1762743565628755
Liverpool,152,96,37,19,341,155,325,2.2434210526315788,1.019736842105263,18.24342105263158,6.421052631578948,0.6290937536934184,186,2.138157894736842,2.3803327585011704,-0.13691170586959167
Arsenal,152,96,28,28,309,154,316,2.0328947368421053,1.013157894736842,15.69078947368421,5.368421052631579,0.5689544667556001,155,2.0789473684210527,1.9343608556856666,0.09853388115643869
Chelsea,152,70,40,42,255,186,250,1.6776315789473684,1.2236842105263157,14.598684210526315,5.276315789473684,0.5222394608150138,69,1.644736842105263,1.7435584436563527,-0.06592686470898435
Newcastle,152,70,36,46,265,204,246,1.743421052631579,1.3421052631578947,13.776315789473685,4.815789473684211,0.41090029556525953,61,1.618421052631579,1.5998819285740389,0.1435391240575401
Aston Villa,152,70,30,52,237,212,240,1.5592105263157894,1.394736842105263,12.388157894736842,4.427631578947368,0.3868845816119711,25,1.5789473684210527,1.357355971115092,0.2018545552006974
Man United,152,68,31,53,216,212,235,1.4210526315789473,1.394736842105263,14.322368421052632,5.052631578947368,0.45604947104675114,4,1.5460526315789473,1.6952831345886956,-0.27423050300974827
Tottenham,152,71,22,59,277,229,235,1.8223684210526316,1.506578947368421,13.75,5.243421052631579,0.4452147894249298,48,1.5460526315789473,1.5952842800914047,0.22708414096122698
Brighton,152,58,48,46,235,218,222,1.5460526315789473,1.4342105263157894,14.453947368421053,5.144736842105263,0.40302129016783755,17,1.4605263157894737,1.7182713770018658,-0.17221874542291848
Fulham,114,43,24,47,164,168,153,1.4385964912280702,1.4736842105263157,12.719298245614034,4.385964912280702,0.31383890361084116,-4,1.3421052631578947,1.4152097145215703,0.023386776706499912
Brentford,152,54,38,60,228,224,200,1.5,1.4736842105263157,11.532894736842104,4.421052631578948,0.31923122621626826,4,1.3157894736842106,1.2079323954294852,0.29206760457051484
Crystal Palace,152,48,51,53,198,204,195,1.3026315789473684,1.3421052631578947,11.901315789473685,4.197368421052632,0.3089558513389572,-6,1.2828947368421053,1.272299474186362,0.03033210476100634
West Ham,152,52,35,65,208,242,191,1.368421052631579,1.5921052631578947,12.05921052631579,3.9407894736842106,0.3394389645883339,-34,1.256578947368421,1.2998853650821665,0.06853568754941253
Bournemouth,114,39,26,49,149,184,143,1.3070175438596492,1.6140350877192982,12.956140350877194,4.56140350877193,0.3049073224613393,-35,1.2543859649122806,1.4565885508652774,-0.1495710070056282
Nott'm Forest,114,37,28,49,145,181,139,1.2719298245614035,1.587719298245614,11.24561403508772,3.789473684210526,0.27837772854645537,-36,1.219298245614035,1.1577413994940633,0.11418842506734017
Wolves,152,51,27,74,173,235,180,1.138157894736842,1.5460526315789473,11.006578947368421,3.8157894736842106,0.2920681740693585,-62,1.1842105263157894,1.1159794257768039,0.022178468960038167
Everton,152,43,42,67,159,218,171,1.0460526315789473,1.4342105263157894,11.703947368421053,3.9210526315789473,0.3002899778177258,-59,1.125,1.2378171105666067,-0.19176447898765936
Leicester,114,29,24,61,146,207,111,1.280701754385965,1.8157894736842106,10.412280701754385,3.789473684210526,0.2845933575281006,-61,0.9736842105263158,1.0121491975439847,0.2685525568419802
Leeds,76,16,21,39,90,157,69,1.1842105263157894,2.0657894736842106,12.5,3.9342105263157894,0.3003421776374921,-67,0.9078947368421053,1.3768959771662868,-0.19268545085049738
Burnley,76,12,23,41,75,131,59,0.9868421052631579,1.7236842105263157,11.052631578947368,3.513157894736842,0.2395690797308448,-56,0.7763157894736842,1.1240253106214135,-0.13718320535825568
Luton,38,6,8,24,52,85,26,1.368421052631579,2.236842105263158,11.342105263157896,3.710526315789474,0.19720782922175023,-33,0.6842105263157895,1.1745994439303884,0.19382160870119058
Southampton,114,17,26,71,105,226,77,0.9210526315789473,1.9824561403508771,10.894736842105264,3.710526315789474,0.2464516873201779,-121,0.6754385964912281,1.0964394197256093,-0.17538678814666198
Watford,38,6,5,27,34,77,23,0.8947368421052632,2.026315789473684,10.421052631578947,3.3421052631578947,0.2141997224879449,-43,0.6052631578947368,1.013681747038196,-0.11894490493293286
Ipswich,38,4,10,24,36,82,22,0.9473684210526315,2.1578947368421053,9.894736842105264,3.3421052631578947,0.20712438191974525,-46,0.5789473684210527,0.921728777385515,0.025639643667116574
Norwich,38,5,7,26,23,84,22,0.6052631578947368,2.210526315789474,9.842105263157896,2.8684210526315788,0.18294196577420924,-61,0.5789473684210527,0.912533480420247,-0.3072703225255101
Sheffield United,38,3,7,28,35,104,16,0.9210526315789473,2.736842105263158,9.68421052631579,3.3947368421052633,0.16475970375073146,-69,0.42105263157894735,0.8849475895244425,0.03610504205450482
